Event,Timestamp,J0_position,J0_velocity,J0_Fx,J0_Fy,J0_Fz,J0_Mx,J0_My,J0_Mz,J0_torque,J1_position,J1_velocity,J1_Fx,J1_Fy,J1_Fz,J1_Mx,J1_My,J1_Mz,J1_torque,J2_position,J2_velocity,J2_Fx,J2_Fy,J2_Fz,J2_Mx,J2_My,J2_Mz,J2_torque,J3_position,J3_velocity,J3_Fx,J3_Fy,J3_Fz,Resultant Slip,Laplace Slip,J3_Mx,J3_My,J3_Mz,J3_torque,J4_position,J4_velocity,J4_Fx,J4_Fy,J4_Fz,J4_Mx,J4_My,J4_Mz,J4_torque,J5_position,J5_velocity,J5_Fx,J5_Fy,J5_Fz,J5_Mx,J5_My,J5_Mz,J5_torque,J6_position,J6_velocity,J6_Fx,J6_Fy,J6_Fz,J6_Mx,J6_My,J6_Mz,J6_torque,J7_position,J7_velocity,J7_Fx,J7_Fy,J7_Fz,J7_Mx,J7_My,J7_Mz,J7_torque,J8_position,J8_velocity,J8_Fx,J8_Fy,J8_Fz,J8_Mx,J8_My,J8_Mz,J8_torque,J9_position,J9_velocity,J9_Fx,J9_Fy,J9_Fz,J9_Mx,J9_My,J9_Mz,J9_torque,J10_position,J10_velocity,J10_Fx,J10_Fy,J10_Fz,J10_Mx,J10_My,J10_Mz,J10_torque,J11_position,J11_velocity,J11_Fx,J11_Fy,J11_Fz,J11_Mx,J11_My,J11_Mz,J11_torque,J12_position,J12_velocity,J12_Fx,J12_Fy,J12_Fz,J12_Mx,J12_My,J12_Mz,J12_torque,J13_position,J13_velocity,J13_Fx,J13_Fy,J13_Fz,J13_Mx,J13_My,J13_Mz,J13_torque,J14_position,J14_velocity,J14_Fx,J14_Fy,J14_Fz,J14_Mx,J14_My,J14_Mz,J14_torque,J15_position,J15_velocity,J15_Fx,J15_Fy,J15_Fz,J15_Mx,J15_My,J15_Mz,J15_torque,J16_position,J16_velocity,J16_Fx,J16_Fy,J16_Fz,J16_Mx,J16_My,J16_Mz,J16_torque,J17_position,J17_velocity,J17_Fx,J17_Fy,J17_Fz,J17_Mx,J17_My,J17_Mz,J17_torque,J18_position,J18_velocity,J18_Fx,J18_Fy,J18_Fz,J18_Mx,J18_My,J18_Mz,J18_torque,J19_position,J19_velocity,J19_Fx,J19_Fy,J19_Fz,J19_Mx,J19_My,J19_Mz,J19_torque
STEADY_AFTER_ACHIEVING_RESET_POSITION,27:29.2,-0.003328266,-3.61E-16,-0.006020991,-0.980778019,11.05757337,0.160506337,-0.16511176,5.20E-18,-0.014411123,0.01773337,3.22E-15,-0.200093076,-0.970607409,10.93956794,0.144821176,-3.47E-18,-0.011844678,-0.165012085,-0.000121413,4.44E-16,-0.187875308,-0.915053705,10.30510351,0.095401757,0,-0.011854781,-0.154947069,0.028712428,5.33E-15,-0.475598236,-0.88441642,9.949233805,9.999781967,0,0.061743124,5.55E-16,-0.010085707,-0.148074952,0,0,-0.485561336,-0.875722128,9.857520645,0.026714923,-0.049757294,-0.00307971,0,-0.002761777,-2.08E-16,-0.008566316,-0.003747111,11.09906941,0.019883067,-0.182225102,0,9.33E-06,-0.007535043,-3.00E-15,0.074201962,-0.003740665,10.9822002,0.019821229,6.94E-18,-0.000139738,-0.18208484,0.075978504,2.66E-14,-0.715947501,-0.003705509,10.32063786,0.019574294,0,0.001351509,-0.186073859,4.17E-05,0,-0.705026144,-0.003643531,9.973152405,0.019433169,1.11E-16,0.001353146,-0.159369198,0,0,-0.712198735,-0.003588563,9.880954437,0.019289676,-0.051800304,0.001382084,0,-1.03E-19,2.78E-17,-0.008952735,0.972380884,11.03291017,-0.121093157,-0.144471452,-1.73E-18,0.012577956,5.76E-06,0,-0.008963991,0.962222877,10.9167313,-0.105312771,3.47E-18,0.012577805,-0.144325434,0.019754108,7.11E-15,-0.211748451,0.906737834,10.27996424,-0.056581225,0,0.011464923,-0.144060011,0.001605883,-8.88E-16,-0.231389287,0.8761293,9.933189247,-0.022945592,-2.78E-17,0.011429588,-0.136245675,0,0,-0.245570322,0.86748889,9.841851644,0.011753315,-0.047648198,0.004490059,0,0.364703674,3.39E-15,11.00572083,0.338121956,-0.914734058,6.94E-18,1.77302328,-0.080096473,0.061084406,-0.001153732,5.55E-17,10.83350948,0.345240244,-0.900707893,-0.044879607,1.365018872,4.34E-19,-0.016942883,-0.000108763,-2.22E-16,10.71724072,0.34147784,-0.892392427,-0.03883735,-6.94E-18,-0.016938855,1.175321992,-0.074921546,9.99E-16,10.25272156,0.329484355,-1.634091588,-0.023240896,-1.11E-16,-0.015242603,0.647650093,0,0,9.876072825,0.317359992,-1.57407247,-0.018480961,0.499513863,-0.015243223,0
STEADY_AFTER_ACHIEVING_RESET_POSITION,27:29.2,-0.003328266,-3.61E-16,-0.006020991,-0.980778019,11.05757337,0.160506337,-0.16511176,5.20E-18,-0.014411123,0.01773337,3.22E-15,-0.200093076,-0.970607409,10.93956794,0.144821176,-3.47E-18,-0.011844678,-0.165012085,-0.000121413,4.44E-16,-0.187875308,-0.915053705,10.30510351,0.095401757,0,-0.011854781,-0.154947069,0.028712428,5.33E-15,-0.475598236,-0.88441642,9.949233805,9.999781967,0,0.061743124,5.55E-16,-0.010085707,-0.148074952,0,0,-0.485561336,-0.875722128,9.857520645,0.026714923,-0.049757294,-0.00307971,0,-0.002761777,-2.08E-16,-0.008566316,-0.003747111,11.09906941,0.019883067,-0.182225102,0,9.33E-06,-0.007535043,-3.00E-15,0.074201962,-0.003740665,10.9822002,0.019821229,6.94E-18,-0.000139738,-0.18208484,0.075978504,2.66E-14,-0.715947501,-0.003705509,10.32063786,0.019574294,0,0.001351509,-0.186073859,4.17E-05,0,-0.705026144,-0.003643531,9.973152405,0.019433169,1.11E-16,0.001353146,-0.159369198,0,0,-0.712198735,-0.003588563,9.880954437,0.019289676,-0.051800304,0.001382084,0,-1.03E-19,2.78E-17,-0.008952735,0.972380884,11.03291017,-0.121093157,-0.144471452,-1.73E-18,0.012577956,5.76E-06,0,-0.008963991,0.962222877,10.9167313,-0.105312771,3.47E-18,0.012577805,-0.144325434,0.019754108,7.11E-15,-0.211748451,0.906737834,10.27996424,-0.056581225,0,0.011464923,-0.144060011,0.001605883,-8.88E-16,-0.231389287,0.8761293,9.933189247,-0.022945592,-2.78E-17,0.011429588,-0.136245675,0,0,-0.245570322,0.86748889,9.841851644,0.011753315,-0.047648198,0.004490059,0,0.364703674,3.39E-15,11.00572083,0.338121956,-0.914734058,6.94E-18,1.77302328,-0.080096473,0.061084406,-0.001153732,5.55E-17,10.83350948,0.345240244,-0.900707893,-0.044879607,1.365018872,4.34E-19,-0.016942883,-0.000108763,-2.22E-16,10.71724072,0.34147784,-0.892392427,-0.03883735,-6.94E-18,-0.016938855,1.175321992,-0.074921546,9.99E-16,10.25272156,0.329484355,-1.634091588,-0.023240896,-1.11E-16,-0.015242603,0.647650093,0,0,9.876072825,0.317359992,-1.57407247,-0.018480961,0.499513863,-0.015243223,0
STEADY_AFTER_ACHIEVING_RESET_POSITION,27:29.2,-0.003328266,-3.61E-16,-0.006020991,-0.980778019,11.05757337,0.160506337,-0.16511176,5.20E-18,-0.014411123,0.01773337,3.22E-15,-0.200093076,-0.970607409,10.93956794,0.144821176,-3.47E-18,-0.011844678,-0.165012085,-0.000121413,4.44E-16,-0.187875308,-0.915053705,10.30510351,0.095401757,0,-0.011854781,-0.154947069,0.028712428,5.33E-15,-0.475598236,-0.88441642,9.949233805,9.999781967,0,0.061743124,5.55E-16,-0.010085707,-0.148074952,0,0,-0.485561336,-0.875722128,9.857520645,0.026714923,-0.049757294,-0.00307971,0,-0.002761777,-2.08E-16,-0.008566316,-0.003747111,11.09906941,0.019883067,-0.182225102,0,9.33E-06,-0.007535043,-3.00E-15,0.074201962,-0.003740665,10.9822002,0.019821229,6.94E-18,-0.000139738,-0.18208484,0.075978504,2.66E-14,-0.715947501,-0.003705509,10.32063786,0.019574294,0,0.001351509,-0.186073859,4.17E-05,0,-0.705026144,-0.003643531,9.973152405,0.019433169,1.11E-16,0.001353146,-0.159369198,0,0,-0.712198735,-0.003588563,9.880954437,0.019289676,-0.051800304,0.001382084,0,-1.03E-19,2.78E-17,-0.008952735,0.972380884,11.03291017,-0.121093157,-0.144471452,-1.73E-18,0.012577956,5.76E-06,0,-0.008963991,0.962222877,10.9167313,-0.105312771,3.47E-18,0.012577805,-0.144325434,0.019754108,7.11E-15,-0.211748451,0.906737834,10.27996424,-0.056581225,0,0.011464923,-0.144060011,0.001605883,-8.88E-16,-0.231389287,0.8761293,9.933189247,-0.022945592,-2.78E-17,0.011429588,-0.136245675,0,0,-0.245570322,0.86748889,9.841851644,0.011753315,-0.047648198,0.004490059,0,0.364703674,3.39E-15,11.00572083,0.338121956,-0.914734058,6.94E-18,1.77302328,-0.080096473,0.061084406,-0.001153732,5.55E-17,10.83350948,0.345240244,-0.900707893,-0.044879607,1.365018872,4.34E-19,-0.016942883,-0.000108763,-2.22E-16,10.71724072,0.34147784,-0.892392427,-0.03883735,-6.94E-18,-0.016938855,1.175321992,-0.074921546,9.99E-16,10.25272156,0.329484355,-1.634091588,-0.023240896,-1.11E-16,-0.015242603,0.647650093,0,0,9.876072825,0.317359992,-1.57407247,-0.018480961,0.499513863,-0.015243223,0
STEADY_AFTER_ACHIEVING_RESET_POSITION,27:29.2,-0.003328266,-3.61E-16,-0.006020991,-0.980778019,11.05757337,0.160506337,-0.16511176,5.20E-18,-0.014411123,0.01773337,3.22E-15,-0.200093076,-0.970607409,10.93956794,0.144821176,-3.47E-18,-0.011844678,-0.165012085,-0.000121413,4.44E-16,-0.187875308,-0.915053705,10.30510351,0.095401757,0,-0.011854781,-0.154947069,0.028712428,5.33E-15,-0.475598236,-0.88441642,9.949233805,9.999781967,0,0.061743124,5.55E-16,-0.010085707,-0.148074952,0,0,-0.485561336,-0.875722128,9.857520645,0.026714923,-0.049757294,-0.00307971,0,-0.002761777,-2.08E-16,-0.008566316,-0.003747111,11.09906941,0.019883067,-0.182225102,0,9.33E-06,-0.007535043,-3.00E-15,0.074201962,-0.003740665,10.9822002,0.019821229,6.94E-18,-0.000139738,-0.18208484,0.075978504,2.66E-14,-0.715947501,-0.003705509,10.32063786,0.019574294,0,0.001351509,-0.186073859,4.17E-05,0,-0.705026144,-0.003643531,9.973152405,0.019433169,1.11E-16,0.001353146,-0.159369198,0,0,-0.712198735,-0.003588563,9.880954437,0.019289676,-0.051800304,0.001382084,0,-1.03E-19,2.78E-17,-0.008952735,0.972380884,11.03291017,-0.121093157,-0.144471452,-1.73E-18,0.012577956,5.76E-06,0,-0.008963991,0.962222877,10.9167313,-0.105312771,3.47E-18,0.012577805,-0.144325434,0.019754108,7.11E-15,-0.211748451,0.906737834,10.27996424,-0.056581225,0,0.011464923,-0.144060011,0.001605883,-8.88E-16,-0.231389287,0.8761293,9.933189247,-0.022945592,-2.78E-17,0.011429588,-0.136245675,0,0,-0.245570322,0.86748889,9.841851644,0.011753315,-0.047648198,0.004490059,0,0.364703674,3.39E-15,11.00572083,0.338121956,-0.914734058,6.94E-18,1.77302328,-0.080096473,0.061084406,-0.001153732,5.55E-17,10.83350948,0.345240244,-0.900707893,-0.044879607,1.365018872,4.34E-19,-0.016942883,-0.000108763,-2.22E-16,10.71724072,0.34147784,-0.892392427,-0.03883735,-6.94E-18,-0.016938855,1.175321992,-0.074921546,9.99E-16,10.25272156,0.329484355,-1.634091588,-0.023240896,-1.11E-16,-0.015242603,0.647650093,0,0,9.876072825,0.317359992,-1.57407247,-0.018480961,0.499513863,-0.015243223,0
STEADY_AFTER_ACHIEVING_RESET_POSITION,27:29.2,-0.003328266,-2.22E-16,-0.006020991,-0.980778019,11.05757337,0.160506337,-0.16511176,1.73E-18,-0.014411123,0.01773337,8.88E-16,-0.200093076,-0.970607409,10.93956794,0.144821176,0,-0.011844678,-0.165012085,-0.000121413,0,-0.187875308,-0.915053705,10.30510351,0.095401757,2.78E-17,-0.011854781,-0.154947069,0.028712428,2.66E-15,-0.475598236,-0.88441642,9.949233805,9.999781967,0,0.061743124,-5.55E-17,-0.010085707,-0.148074952,0,0,-0.485561336,-0.875722128,9.857520645,0.026714923,-0.049757294,-0.00307971,0,-0.002761777,-1.87E-16,-0.008566316,-0.003747111,11.09906941,0.019883067,-0.182225102,-2.17E-19,9.33E-06,-0.007535043,-2.00E-15,0.074201962,-0.003740665,10.9822002,0.019821229,0,-0.000139738,-0.18208484,0.075978504,1.95E-14,-0.715947501,-0.003705509,10.32063786,0.019574294,0,0.001351509,-0.186073859,4.17E-05,0,-0.705026144,-0.003643531,9.973152405,0.019433169,-4.16E-16,0.001353146,-0.159369198,0,0,-0.712198735,-0.003588563,9.880954437,0.019289676,-0.051800304,0.001382084,0,-2.18E-19,-2.78E-17,-0.008952735,0.972380884,11.03291017,-0.121093157,-0.144471452,3.47E-18,0.012577956,5.76E-06,0,-0.008963991,0.962222877,10.9167313,-0.105312771,3.47E-18,0.012577805,-0.144325434,0.019754108,7.99E-15,-0.211748451,0.906737834,10.27996424,-0.056581225,0,0.011464923,-0.144060011,0.001605883,8.88E-16,-0.231389287,0.8761293,9.933189247,-0.022945592,4.16E-16,0.011429588,-0.136245675,0,0,-0.245570322,0.86748889,9.841851644,0.011753315,-0.047648198,0.004490059,0,0.364703674,3.43E-15,11.00572083,0.338121956,-0.914734058,1.73E-18,1.77302328,-0.080096473,0.061084406,-0.001153732,-3.47E-18,10.83350948,0.345240244,-0.900707893,-0.044879607,1.365018872,0,-0.016942883,-0.000108763,-1.11E-16,10.71724072,0.34147784,-0.892392427,-0.03883735,-3.47E-18,-0.016938855,1.175321992,-0.074921546,-1.67E-16,10.25272156,0.329484355,-1.634091588,-0.023240896,-2.22E-16,-0.015242603,0.647650093,0,0,9.876072825,0.317359992,-1.57407247,-0.018480961,0.499513863,-0.015243223,0
STEADY_AFTER_ACHIEVING_RESET_POSITION,27:29.2,-0.003328266,-2.22E-16,-0.006020991,-0.980778019,11.05757337,0.160506337,-0.16511176,1.73E-18,-0.014411123,0.01773337,8.88E-16,-0.200093076,-0.970607409,10.93956794,0.144821176,0,-0.011844678,-0.165012085,-0.000121413,0,-0.187875308,-0.915053705,10.30510351,0.095401757,2.78E-17,-0.011854781,-0.154947069,0.028712428,2.66E-15,-0.475598236,-0.88441642,9.949233805,9.999781967,0,0.061743124,-5.55E-17,-0.010085707,-0.148074952,0,0,-0.485561336,-0.875722128,9.857520645,0.026714923,-0.049757294,-0.00307971,0,-0.002761777,-1.87E-16,-0.008566316,-0.003747111,11.09906941,0.019883067,-0.182225102,-2.17E-19,9.33E-06,-0.007535043,-2.00E-15,0.074201962,-0.003740665,10.9822002,0.019821229,0,-0.000139738,-0.18208484,0.075978504,1.95E-14,-0.715947501,-0.003705509,10.32063786,0.019574294,0,0.001351509,-0.186073859,4.17E-05,0,-0.705026144,-0.003643531,9.973152405,0.019433169,-4.16E-16,0.001353146,-0.159369198,0,0,-0.712198735,-0.003588563,9.880954437,0.019289676,-0.051800304,0.001382084,0,-2.18E-19,-2.78E-17,-0.008952735,0.972380884,11.03291017,-0.121093157,-0.144471452,3.47E-18,0.012577956,5.76E-06,0,-0.008963991,0.962222877,10.9167313,-0.105312771,3.47E-18,0.012577805,-0.144325434,0.019754108,7.99E-15,-0.211748451,0.906737834,10.27996424,-0.056581225,0,0.011464923,-0.144060011,0.001605883,8.88E-16,-0.231389287,0.8761293,9.933189247,-0.022945592,4.16E-16,0.011429588,-0.136245675,0,0,-0.245570322,0.86748889,9.841851644,0.011753315,-0.047648198,0.004490059,0,0.364703674,3.43E-15,11.00572083,0.338121956,-0.914734058,1.73E-18,1.77302328,-0.080096473,0.061084406,-0.001153732,-3.47E-18,10.83350948,0.345240244,-0.900707893,-0.044879607,1.365018872,0,-0.016942883,-0.000108763,-1.11E-16,10.71724072,0.34147784,-0.892392427,-0.03883735,-3.47E-18,-0.016938855,1.175321992,-0.074921546,-1.67E-16,10.25272156,0.329484355,-1.634091588,-0.023240896,-2.22E-16,-0.015242603,0.647650093,0,0,9.876072825,0.317359992,-1.57407247,-0.018480961,0.499513863,-0.015243223,0
STEADY_AFTER_ACHIEVING_RESET_POSITION,27:29.2,-0.003328266,-2.22E-16,-0.006020991,-0.980778019,11.05757337,0.160506337,-0.16511176,1.73E-18,-0.014411123,0.01773337,8.88E-16,-0.200093076,-0.970607409,10.93956794,0.144821176,0,-0.011844678,-0.165012085,-0.000121413,0,-0.187875308,-0.915053705,10.30510351,0.095401757,2.78E-17,-0.011854781,-0.154947069,0.028712428,2.66E-15,-0.475598236,-0.88441642,9.949233805,9.999781967,1.95399E-14,0.061743124,-5.55E-17,-0.010085707,-0.148074952,0,0,-0.485561336,-0.875722128,9.857520645,0.026714923,-0.049757294,-0.00307971,0,-0.002761777,-1.87E-16,-0.008566316,-0.003747111,11.09906941,0.019883067,-0.182225102,-2.17E-19,9.33E-06,-0.007535043,-2.00E-15,0.074201962,-0.003740665,10.9822002,0.019821229,0,-0.000139738,-0.18208484,0.075978504,1.95E-14,-0.715947501,-0.003705509,10.32063786,0.019574294,0,0.001351509,-0.186073859,4.17E-05,0,-0.705026144,-0.003643531,9.973152405,0.019433169,-4.16E-16,0.001353146,-0.159369198,0,0,-0.712198735,-0.003588563,9.880954437,0.019289676,-0.051800304,0.001382084,0,-2.18E-19,-2.78E-17,-0.008952735,0.972380884,11.03291017,-0.121093157,-0.144471452,3.47E-18,0.012577956,5.76E-06,0,-0.008963991,0.962222877,10.9167313,-0.105312771,3.47E-18,0.012577805,-0.144325434,0.019754108,7.99E-15,-0.211748451,0.906737834,10.27996424,-0.056581225,0,0.011464923,-0.144060011,0.001605883,8.88E-16,-0.231389287,0.8761293,9.933189247,-0.022945592,4.16E-16,0.011429588,-0.136245675,0,0,-0.245570322,0.86748889,9.841851644,0.011753315,-0.047648198,0.004490059,0,0.364703674,3.43E-15,11.00572083,0.338121956,-0.914734058,1.73E-18,1.77302328,-0.080096473,0.061084406,-0.001153732,-3.47E-18,10.83350948,0.345240244,-0.900707893,-0.044879607,1.365018872,0,-0.016942883,-0.000108763,-1.11E-16,10.71724072,0.34147784,-0.892392427,-0.03883735,-3.47E-18,-0.016938855,1.175321992,-0.074921546,-1.67E-16,10.25272156,0.329484355,-1.634091588,-0.023240896,-2.22E-16,-0.015242603,0.647650093,0,0,9.876072825,0.317359992,-1.57407247,-0.018480961,0.499513863,-0.015243223,0
STEADY_AFTER_ACHIEVING_RESET_POSITION,27:29.2,-0.003328266,-3.33E-16,-0.006020991,-0.980778019,11.05757337,0.160506337,-0.16511176,5.20E-18,-0.014411123,0.01773337,-7.77E-16,-0.200093076,-0.970607409,10.93956794,0.144821176,-1.73E-18,-0.011844678,-0.165012085,-0.000121413,0,-0.187875308,-0.915053705,10.30510351,0.095401757,0,-0.011854781,-0.154947069,0.028712428,-8.88E-16,-0.475598236,-0.88441642,9.949233805,9.999781967,0,0.061743124,-1.11E-15,-0.010085707,-0.148074952,0,0,-0.485561336,-0.875722128,9.857520645,0.026714923,-0.049757294,-0.00307971,0,-0.002761777,-2.84E-16,-0.008566316,-0.003747111,11.09906941,0.019883067,-0.182225102,0,9.33E-06,-0.007535043,-2.44E-15,0.074201962,-0.003740665,10.9822002,0.019821229,-3.47E-18,-0.000139738,-0.18208484,0.075978504,2.31E-14,-0.715947501,-0.003705509,10.32063786,0.019574294,-2.78E-17,0.001351509,-0.186073859,4.17E-05,0,-0.705026144,-0.003643531,9.973152405,0.019433169,0,0.001353146,-0.159369198,0,0,-0.712198735,-0.003588563,9.880954437,0.019289676,-0.051800304,0.001382084,0,-2.18E-19,0,-0.008952735,0.972380884,11.03291017,-0.121093157,-0.144471452,-3.47E-18,0.012577956,5.76E-06,0,-0.008963991,0.962222877,10.9167313,-0.105312771,6.94E-18,0.012577805,-0.144325434,0.019754108,7.55E-15,-0.211748451,0.906737834,10.27996424,-0.056581225,-1.39E-17,0.011464923,-0.144060011,0.001605883,0,-0.231389287,0.8761293,9.933189247,-0.022945592,-7.22E-16,0.011429588,-0.136245675,0,0,-0.245570322,0.86748889,9.841851644,0.011753315,-0.047648198,0.004490059,0,0.364703674,3.42E-15,11.00572083,0.338121956,-0.914734058,1.73E-18,1.77302328,-0.080096473,0.061084406,-0.001153732,1.73E-17,10.83350948,0.345240244,-0.900707893,-0.044879607,1.365018872,4.34E-19,-0.016942883,-0.000108763,-2.22E-16,10.71724072,0.34147784,-0.892392427,-0.03883735,0,-0.016938855,1.175321992,-0.074921546,5.00E-16,10.25272156,0.329484355,-1.634091588,-0.023240896,-1.11E-16,-0.015242603,0.647650093,0,0,9.876072825,0.317359992,-1.57407247,-0.018480961,0.499513863,-0.015243223,0
STEADY_AFTER_ACHIEVING_RESET_POSITION,27:29.2,-0.003328266,-3.33E-16,-0.006020991,-0.980778019,11.05757337,0.160506337,-0.16511176,5.20E-18,-0.014411123,0.01773337,-7.77E-16,-0.200093076,-0.970607409,10.93956794,0.144821176,-1.73E-18,-0.011844678,-0.165012085,-0.000121413,0,-0.187875308,-0.915053705,10.30510351,0.095401757,0,-0.011854781,-0.154947069,0.028712428,-8.88E-16,-0.475598236,-0.88441642,9.949233805,9.999781967,0,0.061743124,-1.11E-15,-0.010085707,-0.148074952,0,0,-0.485561336,-0.875722128,9.857520645,0.026714923,-0.049757294,-0.00307971,0,-0.002761777,-2.84E-16,-0.008566316,-0.003747111,11.09906941,0.019883067,-0.182225102,0,9.33E-06,-0.007535043,-2.44E-15,0.074201962,-0.003740665,10.9822002,0.019821229,-3.47E-18,-0.000139738,-0.18208484,0.075978504,2.31E-14,-0.715947501,-0.003705509,10.32063786,0.019574294,-2.78E-17,0.001351509,-0.186073859,4.17E-05,0,-0.705026144,-0.003643531,9.973152405,0.019433169,0,0.001353146,-0.159369198,0,0,-0.712198735,-0.003588563,9.880954437,0.019289676,-0.051800304,0.001382084,0,-2.18E-19,0,-0.008952735,0.972380884,11.03291017,-0.121093157,-0.144471452,-3.47E-18,0.012577956,5.76E-06,0,-0.008963991,0.962222877,10.9167313,-0.105312771,6.94E-18,0.012577805,-0.144325434,0.019754108,7.55E-15,-0.211748451,0.906737834,10.27996424,-0.056581225,-1.39E-17,0.011464923,-0.144060011,0.001605883,0,-0.231389287,0.8761293,9.933189247,-0.022945592,-7.22E-16,0.011429588,-0.136245675,0,0,-0.245570322,0.86748889,9.841851644,0.011753315,-0.047648198,0.004490059,0,0.364703674,3.42E-15,11.00572083,0.338121956,-0.914734058,1.73E-18,1.77302328,-0.080096473,0.061084406,-0.001153732,1.73E-17,10.83350948,0.345240244,-0.900707893,-0.044879607,1.365018872,4.34E-19,-0.016942883,-0.000108763,-2.22E-16,10.71724072,0.34147784,-0.892392427,-0.03883735,0,-0.016938855,1.175321992,-0.074921546,5.00E-16,10.25272156,0.329484355,-1.634091588,-0.023240896,-1.11E-16,-0.015242603,0.647650093,0,0,9.876072825,0.317359992,-1.57407247,-0.018480961,0.499513863,-0.015243223,0
STEADY_AFTER_ACHIEVING_RESET_POSITION,27:29.2,-0.003328266,-3.33E-16,-0.006020991,-0.980778019,11.05757337,0.160506337,-0.16511176,5.20E-18,-0.014411123,0.01773337,-7.77E-16,-0.200093076,-0.970607409,10.93956794,0.144821176,-1.73E-18,-0.011844678,-0.165012085,-0.000121413,0,-0.187875308,-0.915053705,10.30510351,0.095401757,0,-0.011854781,-0.154947069,0.028712428,-8.88E-16,-0.475598236,-0.88441642,9.949233805,9.999781967,0,0.061743124,-1.11E-15,-0.010085707,-0.148074952,0,0,-0.485561336,-0.875722128,9.857520645,0.026714923,-0.049757294,-0.00307971,0,-0.002761777,-2.84E-16,-0.008566316,-0.003747111,11.09906941,0.019883067,-0.182225102,0,9.33E-06,-0.007535043,-2.44E-15,0.074201962,-0.003740665,10.9822002,0.019821229,-3.47E-18,-0.000139738,-0.18208484,0.075978504,2.31E-14,-0.715947501,-0.003705509,10.32063786,0.019574294,-2.78E-17,0.001351509,-0.186073859,4.17E-05,0,-0.705026144,-0.003643531,9.973152405,0.019433169,0,0.001353146,-0.159369198,0,0,-0.712198735,-0.003588563,9.880954437,0.019289676,-0.051800304,0.001382084,0,-2.18E-19,0,-0.008952735,0.972380884,11.03291017,-0.121093157,-0.144471452,-3.47E-18,0.012577956,5.76E-06,0,-0.008963991,0.962222877,10.9167313,-0.105312771,6.94E-18,0.012577805,-0.144325434,0.019754108,7.55E-15,-0.211748451,0.906737834,10.27996424,-0.056581225,-1.39E-17,0.011464923,-0.144060011,0.001605883,0,-0.231389287,0.8761293,9.933189247,-0.022945592,-7.22E-16,0.011429588,-0.136245675,0,0,-0.245570322,0.86748889,9.841851644,0.011753315,-0.047648198,0.004490059,0,0.364703674,3.42E-15,11.00572083,0.338121956,-0.914734058,1.73E-18,1.77302328,-0.080096473,0.061084406,-0.001153732,1.73E-17,10.83350948,0.345240244,-0.900707893,-0.044879607,1.365018872,4.34E-19,-0.016942883,-0.000108763,-2.22E-16,10.71724072,0.34147784,-0.892392427,-0.03883735,0,-0.016938855,1.175321992,-0.074921546,5.00E-16,10.25272156,0.329484355,-1.634091588,-0.023240896,-1.11E-16,-0.015242603,0.647650093,0,0,9.876072825,0.317359992,-1.57407247,-0.018480961,0.499513863,-0.015243223,0
STEADY_AFTER_ACHIEVING_RESET_POSITION,27:29.2,-0.003328266,-3.33E-16,-0.006020991,-0.980778019,11.05757337,0.160506337,-0.16511176,5.20E-18,-0.014411123,0.01773337,-7.77E-16,-0.200093076,-0.970607409,10.93956794,0.144821176,-1.73E-18,-0.011844678,-0.165012085,-0.000121413,0,-0.187875308,-0.915053705,10.30510351,0.095401757,0,-0.011854781,-0.154947069,0.028712428,-8.88E-16,-0.475598236,-0.88441642,9.949233805,9.999781967,0,0.061743124,-1.11E-15,-0.010085707,-0.148074952,0,0,-0.485561336,-0.875722128,9.857520645,0.026714923,-0.049757294,-0.00307971,0,-0.002761777,-2.84E-16,-0.008566316,-0.003747111,11.09906941,0.019883067,-0.182225102,0,9.33E-06,-0.007535043,-2.44E-15,0.074201962,-0.003740665,10.9822002,0.019821229,-3.47E-18,-0.000139738,-0.18208484,0.075978504,2.31E-14,-0.715947501,-0.003705509,10.32063786,0.019574294,-2.78E-17,0.001351509,-0.186073859,4.17E-05,0,-0.705026144,-0.003643531,9.973152405,0.019433169,0,0.001353146,-0.159369198,0,0,-0.712198735,-0.003588563,9.880954437,0.019289676,-0.051800304,0.001382084,0,-2.18E-19,0,-0.008952735,0.972380884,11.03291017,-0.121093157,-0.144471452,-3.47E-18,0.012577956,5.76E-06,0,-0.008963991,0.962222877,10.9167313,-0.105312771,6.94E-18,0.012577805,-0.144325434,0.019754108,7.55E-15,-0.211748451,0.906737834,10.27996424,-0.056581225,-1.39E-17,0.011464923,-0.144060011,0.001605883,0,-0.231389287,0.8761293,9.933189247,-0.022945592,-7.22E-16,0.011429588,-0.136245675,0,0,-0.245570322,0.86748889,9.841851644,0.011753315,-0.047648198,0.004490059,0,0.364703674,3.42E-15,11.00572083,0.338121956,-0.914734058,1.73E-18,1.77302328,-0.080096473,0.061084406,-0.001153732,1.73E-17,10.83350948,0.345240244,-0.900707893,-0.044879607,1.365018872,4.34E-19,-0.016942883,-0.000108763,-2.22E-16,10.71724072,0.34147784,-0.892392427,-0.03883735,0,-0.016938855,1.175321992,-0.074921546,5.00E-16,10.25272156,0.329484355,-1.634091588,-0.023240896,-1.11E-16,-0.015242603,0.647650093,0,0,9.876072825,0.317359992,-1.57407247,-0.018480961,0.499513863,-0.015243223,0
